73.04595974;0.4219366;1.49452436999999;4.91281770000001;70.8691348902836;73.8970202869983
75.19063987;3.74E-01;17.95801325;8.68796269000001;74.2755059615877;75.9786914972397
85.03344375;0.48940864;8.17029882999999;5.02969851;83.1699193144372;86.3870475484465
87.61111903;0.50869388;3.32191211;2.91830494;86.5762903857412;89.6041757824559
238.94328406;0.43327856;27.02001756;3.8551902;237.402831709593;240.052231431718
295.45500492;4.54E-01;10.85170697;2.61604465;293.22946871152;296.825082620119
338.51569962;0.50766147;6.45381201;1.6394734;336.755321289294;340.350935197893
352.09087793;5.05E-01;11.75848025;3.03159639;350.002319899921;353.59793380852
510.94482088;9.77E-01;6.31627757;1.58617686;507.073874854497;514.454345508989
583.23881303;6.31E-01;16.16735555;2.70994556;579.932367212945;585.42040949449
609.37652004;6.20E-01;17.86618162;2.33256955;606.426364434199;611.914406715744
911.431828;7.91E-01;24.162898;2.2795487;907.322475732723;915.649160573689
969.303125;7.81E-01;6.49022930000001;11.5406752;967.123212317839;971.475797575616
1120.68634;9.02E-01;-16.56286927;24.43557219;1118.32823931628;1122.87006741135
1461.21997;1.12E+00;133.43003;-4.25130326;1458.01913226021;1464.45338872823
