Cs_S;1. Peak;664.5710694781809;0.10359958445215207;22.60;0.10;53.21;0.23
Co_S;1. Peak;1173.9907128115608;0.20094456412325687;29.83;0.23;70.2;0.5
Co_S;2. Peak;1333.573492451182;0.3017261046638749;33.6;0.5;79.0;1.1
Eu_S;1. Peak;36.87601961109968;0.07406691355505195;5.27;0.05;12.42;0.13
Eu_S;2. Peak;121.43706704617519;0.26673727661919006;6.66;0.22;15.7;0.5
Eu_S;3. Peak;242.84674742644512;0.3664964754528365;10.2;0.4;24.0;1.0
Eu_S;4. Peak;344.7798582085374;0.20484788161891565;15.38;0.26;36.2;0.6
Eu_S;5. Peak;780.5073213927008;0.5723884958956387;22.6;0.7;53.3;1.7
Eu_S;6. Peak;967.5712146856285;0.8302621500910002;26.1;1.2;61.4;2.9
Eu_S;7. Peak;1102.4513356523498;0.7721428207705604;34.0;1.0;80.1;2.4
Eu_S;8. Peak;1407.1831096825817;1.557327967880115;36.2;2.2;85;5
